X,Y,ADDRTYPE,FATALITIES,INATTENTIONIND,INCDATE,YEAR,INJURIES,LIGHTCOND,PEDCOUNT,PEDCYLCOUNT,PEDROWNOTGRNT,PERSONCOUNT,ROADCOND,SERIOUSINJURIES,SEVERITYCODE,SEVERITYDESC,SPEEDING,UNDERINFL,VEHCOUNT,WEATHER,PEDORBIKECOUNT
-122.3445693,47.6945466,Block,0,,2016/12/05 00:00:00+00,2016,1,Daylight,1,0,,2,Wet,1,2b,Serious Injury Collision,,N,1,Raining,1
-122.3291316,47.61912473,Block,0,,2017/01/04 00:00:00+00,2017,1,Dusk,0,1,,2,Dry,0,2,Injury Collision,,N,1,Overcast,1
-122.3214208,47.60694734,Intersection,0,,2017/01/25 00:00:00+00,2017,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3177227,47.66057875,Block,0,,2016/11/11 00:00:00+00,2016,1,Daylight,0,1,Y,2,Wet,0,2,Injury Collision,,N,1,Overcast,1
-122.3500734,47.7050675,Intersection,0,Y,2016/12/02 00:00:00+00,2016,1,Dark - Street Lights On,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3349346,47.60326856,Intersection,1,,2017/01/05 00:00:00+00,2017,0,Daylight,1,0,Y,6,Dry,0,3,Fatality Collision,,N,3,Clear,1
-122.3008869,47.66326618,Intersection,0,,2016/10/12 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.333213,47.60201534,Block,0,Y,2016/12/20 00:00:00+00,2016,0,Daylight,0,1,,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.3567092,47.62458297,Intersection,0,Y,2017/01/15 00:00:00+00,2017,1,Daylight,1,0,,4,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3606475,47.69062539,Intersection,0,,2017/01/03 00:00:00+00,2017,1,Dawn,1,0,Y,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3377929,47.60974973,Intersection,0,Y,2016/10/31 00:00:00+00,2016,1,Daylight,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3450853,47.73306346,Block,0,,2016/12/22 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3329864,47.62081361,Intersection,0,,2016/12/16 00:00:00+00,2016,0,Daylight,1,0,,3,Dry,0,1,Property Damage Only Collision,,N,2,Clear,1
-122.3761087,47.64846829,Intersection,0,,2016/11/10 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,1,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3298416,47.60441291,Intersection,0,,2017/01/04 00:00:00+00,2017,0,Daylight,1,0,Y,2,Dry,0,1,Property Damage Only Collision,,N,1,Clear,1
-122.2928414,47.72379376,Block,0,,2016/11/21 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.2661937,47.5025775,Block,0,,2016/12/21 00:00:00+00,2016,1,Dark - No Street Lights,1,0,,1,Unknown,0,2,Injury Collision,,N,1,Unknown,1
-122.3597203,47.54652951,Intersection,0,,2016/12/26 00:00:00+00,2016,1,Daylight,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3762163,47.66752673,Block,0,,2016/11/05 00:00:00+00,2016,1,Daylight,1,0,,1,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3207804,47.61407567,Intersection,0,,2017/01/06 00:00:00+00,2017,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.2782784,47.55229447,Block,0,,2016/11/19 00:00:00+00,2016,2,Dark - Street Lights On,1,0,,2,Wet,0,2,Injury Collision,,N,1,Overcast,1
-122.3497474,47.64958973,Intersection,0,,2016/12/04 00:00:00+00,2016,1,Dark - Street Lights On,0,1,Y,2,Dry,0,2,Injury Collision,,Y,1,Clear,1
-122.341596,47.66286553,Intersection,0,Y,2016/12/10 00:00:00+00,2016,1,Daylight,1,0,Y,1,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3258596,47.60509,Intersection,0,Y,2016/11/14 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,2,Dry,1,2b,Serious Injury Collision,,N,1,Overcast,1
-122.3119374,47.66489281,Intersection,0,,2016/11/19 00:00:00+00,2016,0,Dark - Street Lights On,1,0,,3,Dry,0,1,Property Damage Only Collision,,N,1,Overcast,1
-122.3173632,47.67582933,Intersection,0,Y,2016/12/26 00:00:00+00,2016,1,Daylight,1,0,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3839286,47.66867759,Block,0,,2016/11/19 00:00:00+00,2016,1,Dark - Street Lights On,1,0,,4,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.2853125,47.71816191,Block,0,,2016/11/08 00:00:00+00,2016,1,Dusk,1,0,,2,Dry,1,2b,Serious Injury Collision,,N,1,Clear,1
-122.3342792,47.62316241,Intersection,0,,2017/01/09 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Wet,1,2b,Serious Injury Collision,,N,1,Raining,1
-122.344565,47.69418567,Intersection,0,,2016/11/04 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3207624,47.61296336,Intersection,0,Y,2016/12/17 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3618944,47.53700896,Block,0,,2016/11/03 00:00:00+00,2016,1,Dark - Street Lights On,0,1,,2,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3586874,47.62211557,Block,0,,2016/12/05 00:00:00+00,2016,1,Daylight,1,0,,1,Unknown,0,2,Injury Collision,,N,1,Unknown,1
-122.3497568,47.61646659,Intersection,0,,2017/02/09 00:00:00+00,2017,1,Dawn,1,0,,0,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.3518438,47.65164866,Block,0,,2017/01/26 00:00:00+00,2017,1,Dark - Street Lights On,1,0,,2,Dry,0,2,Injury Collision,Y,Y,1,Clear,1
-122.3709322,47.57430999,Block,0,,2016/11/22 00:00:00+00,2016,0,Daylight,0,1,Y,2,Dry,0,1,Property Damage Only Collision,,N,1,Overcast,1
-122.3342678,47.62083925,Intersection,0,,2017/02/15 00:00:00+00,2017,1,Dark - Street Lights Off,1,0,Y,2,Wet,0,2,Injury Collision,,N,1,Raining,1
-122.324487,47.60862448,Intersection,0,,2016/12/16 00:00:00+00,2016,1,Daylight,1,0,Y,3,Dry,0,2,Injury Collision,,N,1,Clear,1
-122.3209333,47.62369898,Block,0,,2017/01/06 00:00:00+00,2017,0,Daylight,1,0,,2,Dry,0,1,Property Damage Only Collision,,N,1,Snowing,1
-122.2808464,47.5354048,Intersection,0,,2016/10/24 00:00:00+00,2016,1,Daylight,1,0,Y,2,Dry,0,2,Injury Collision,,N,1,Clear,1
